longitude,Has Parking,Cancellation Policy,Has Hot Tub,city,bedrooms,AirDNA Market,adr,Pets Allowed,Occupancy Rate LTM,Max Guests,Listing Type,Host Type,Has Pool,Created Date,bathrooms,Overall Rating,Minimum Stay,Cleaning Fee,Price Tier,Has Kitchen,Number of Reviews,Number of Photos,Number of Bookings LTM,latitude,zipcode
-116.52897,True,strict,False,Pioneertown,1.0,"JOSHUA TREE, CA",345.45,True,0.55,7.0,Entire home/apt,2-5 Units,True,2016-04-12,1.0,99.0,31.0,75.0,luxury,True,205.0,26.0,33.0,34.25491,92268
-116.35124,True,strict,True,Palm Desert,3.0,"COACHELLA VALLEY, CA",550.0,False,1.0,6.0,Entire home/apt,2-5 Units,True,2016-04-13,2.0,97.0,4.0,200.0,midscale,True,101.0,24.0,1.0,33.74618,92211
-116.328949,True,strict,True,Joshua Tree,3.0,"JOSHUA TREE, CA",261.49,True,0.454795,8.0,Entire home/apt,2-5 Units,False,2013-06-05,2.0,96.738404,2.0,85.0,economy,True,539.0,54.0,65.0,34.121407,92252
-116.43598,True,strict,True,Yucca Valley,3.0,"JOSHUA TREE, CA",417.13,False,0.75,6.0,Entire home/apt,2-5 Units,True,2016-04-23,2.5,99.0,2.0,200.0,upscale,True,333.0,47.0,87.0,34.15398,92284
-116.39154,True,strict,False,Landers,1.0,"JOSHUA TREE, CA",224.0,False,0.157068,2.0,Entire home/apt,6-20 Units,True,2016-04-06,1.0,97.0,1.0,35.0,upscale,True,21.0,19.0,10.0,34.28935,92285
-116.46923,True,strict,False,Cathedral City,0.0,"COACHELLA VALLEY, CA",524.02,False,0.482143,8.0,Entire home/apt,2-5 Units,True,2016-04-01,2.5,99.0,31.0,260.0,luxury,True,153.0,59.0,15.0,33.77695,92234
-116.43478,True,strict,False,Rancho Mirage,3.0,"COACHELLA VALLEY, CA",269.38,False,0.57971,8.0,Entire home/apt,1 Unit,True,2016-04-28,3.0,90.0,27.0,150.0,budget,True,5.0,28.0,19.0,33.79782,92270
-116.32166,True,moderate,False,Joshua Tree,2.0,"JOSHUA TREE, CA",406.0,False,1.0,4.0,Entire home/apt,1 Unit,False,2016-05-10,2.0,100.0,2.0,200.0,upscale,True,208.0,62.0,1.0,34.10784,92252
-116.47204,True,moderate,False,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",135.22,True,0.526154,3.0,Entire home/apt,6-20 Units,False,2016-03-05,1.0,95.0,1.0,68.0,economy,True,515.0,31.0,64.0,33.95451,92240
-116.352,True,strict,True,Yucca Valley,5.0,"JOSHUA TREE, CA",1472.35,False,0.78882,10.0,Entire home/apt,6-20 Units,True,2016-05-17,2.0,98.0,2.0,250.0,luxury,True,19.0,31.0,140.0,34.18779,92284
-116.39217,True,strict,True,Rancho Mirage,3.0,"COACHELLA VALLEY, CA",379.6,False,0.106383,6.0,Entire home/apt,1 Unit,True,2017-05-08,2.0,100.0,28.0,200.0,upscale,True,24.0,22.0,4.0,33.74423,92270
-116.30861,True,moderate,True,Palm Desert,2.0,"COACHELLA VALLEY, CA",198.98,False,0.564202,6.0,Entire home/apt,6-20 Units,True,2016-05-27,2.0,93.0,1.0,150.0,economy,True,73.0,23.0,27.0,33.72958,92211
-116.39254,True,strict,True,Yucca Valley,0.0,"JOSHUA TREE, CA",153.01,False,0.517808,2.0,Entire home/apt,6-20 Units,True,2016-05-12,1.0,99.0,1.0,50.0,economy,True,362.0,37.0,103.0,34.25281,92284
-116.4285,True,strict,True,Rancho Mirage,2.0,"COACHELLA VALLEY, CA",155.32,False,0.806818,4.0,Entire home/apt,1 Unit,True,2016-06-03,2.0,99.0,28.0,150.0,budget,True,65.0,31.0,13.0,33.79861,92270
-116.40484,True,super strict,True,Rancho Mirage,4.0,"COACHELLA VALLEY, CA",436.97,False,0.510417,8.0,Entire home/apt,21+ Units,True,2016-06-04,4.0,98.5,1.0,350.0,economy,True,98.0,53.0,28.0,33.73392,92270
-116.32555,True,flexible,True,Palm Desert,1.0,"COACHELLA VALLEY, CA",207.61,False,0.532967,4.0,Entire home/apt,2-5 Units,True,2020-07-12,1.5,98.0,3.0,175.0,midscale,True,92.0,20.0,21.0,33.76173,92211
-116.53297,True,strict,False,Landers,1.0,"JOSHUA TREE, CA",114.24,True,0.344262,4.0,Entire home/apt,2-5 Units,False,2021-01-15,1.0,100.0,2.0,95.0,midscale,True,18.0,52.0,13.0,34.37911,92285
-116.47115,True,moderate,True,Desert Hot Springs,1.0,"COACHELLA VALLEY, CA",139.27,True,0.567073,3.0,Entire home/apt,6-20 Units,True,2016-06-17,1.0,95.0,1.0,59.0,economy,True,516.0,29.0,74.0,33.95467,92240
-116.5856346528,True,moderate,True,North Palm Springs,4.0,"COACHELLA VALLEY, CA",391.4,False,0.930931,9.0,Entire home/apt,1 Unit,False,2016-05-02,2.5,99.0,1.0,159.0,midscale,True,958.0,57.0,168.0,33.9311272101,92258
-116.28344,True,strict,False,Joshua Tree,1.0,"JOSHUA TREE, CA",202.9,False,0.853994,4.0,Entire home/apt,2-5 Units,False,2017-01-02,1.0,99.0,3.0,100.0,upscale,True,371.0,44.0,92.0,34.17922,92252
